BayesianSearch: Testing config: {'topK': 700, 'shrink': 200, 'similarity': 'cosine', 'normalize': True} - Exception unsupported format string passed to Novelty.__format__

BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 12, 'similarity': 'cosine', 'normalize': True} - results: {'ROC_AUC': 0.1923728441600757, 'PRECISION': 0.10499139028104833, 'RECALL': 0.1035878028850479, 'RECALL_TEST_LEN': 0.10499139028104833, 'MAP': 0.04741996805555965, 'MRR': 0.14287844649537063, 'NDCG': 0.08546670742981499, 'F1': 0.10428487401808775, 'HIT_RATE': 0.48043676069153773, 'ARHR': 0.17317747575557604, 'NOVELTY': 0.00613091421726434, 'DIVERSITY_MEAN_INTER_LIST': 0.9965916457025664, 'DIVERSITY_HERFINDAHL': 0.9996490888282114, 'COVERAGE_ITEM': 0.5114611097649624, 'COVERAGE_USER': 0.1960710462672957, 'DIVERSITY_GINI': 0.3728087197348302, 'SHANNON_ENTROPY': 12.282310135387489}
BayesianSearch: Config is suboptimal. Config: {'topK': 1400, 'shrink': 90, 'similarity': 'cosine', 'normalize': True} - results: {'ROC_AUC': 0.23684298937786996, 'PRECISION': 0.12895613777476084, 'RECALL': 0.12693300865138935, 'RECALL_TEST_LEN': 0.12895613777476084, 'MAP': 0.056354680749955186, 'MRR': 0.1767278815276985, 'NDCG': 0.10417028413935796, 'F1': 0.12793657550878204, 'HIT_RATE': 0.6008492569002123, 'ARHR': 0.21399239809157736, 'NOVELTY': 0.005607351069415661, 'DIVERSITY_MEAN_INTER_LIST': 0.9878676992770236, 'DIVERSITY_HERFINDAHL': 0.9987767823865106, 'COVERAGE_ITEM': 0.23329294887327356, 'COVERAGE_USER': 0.1960710462672957, 'DIVERSITY_GINI': 0.23050626701240823, 'SHANNON_ENTROPY': 10.457286668567276}
BayesianSearch: Config is suboptimal. Config: {'topK': 1400, 'shrink': 58, 'similarity': 'cosine', 'normalize': True} - results: {'ROC_AUC': 0.2377443298621651, 'PRECISION': 0.1290363774667688, 'RECALL': 0.12699720936635994, 'RECALL_TEST_LEN': 0.1290363774667688, 'MAP': 0.0563490640988793, 'MRR': 0.17652038168416598, 'NDCG': 0.10419368190356988, 'F1': 0.1280086729848016, 'HIT_RATE': 0.6023657870791629, 'ARHR': 0.21401185621688928, 'NOVELTY': 0.005602513474896988, 'DIVERSITY_MEAN_INTER_LIST': 0.9877001050581776, 'DIVERSITY_HERFINDAHL': 0.9987600246590372, 'COVERAGE_ITEM': 0.23242064453598255, 'COVERAGE_USER': 0.1960710462672957, 'DIVERSITY_GINI': 0.2291684594517177, 'SHANNON_ENTROPY': 10.441509598128096}
BayesianSearch: Config is suboptimal. Config: {'topK': 600, 'shrink': 0, 'similarity': 'cosine', 'normalize': True} - results: {'ROC_AUC': 0.24146628408381576, 'PRECISION': 0.13252580107296522, 'RECALL': 0.13052625278538194, 'RECALL_TEST_LEN': 0.13252580107296522, 'MAP': 0.05778559024215538, 'MRR': 0.17956283008603163, 'NDCG': 0.10676863281704661, 'F1': 0.13151842730526694, 'HIT_RATE': 0.6182388029521787, 'ARHR': 0.21848742563786383, 'NOVELTY': 0.005614659624949241, 'DIVERSITY_MEAN_INTER_LIST': 0.98825932083369, 'DIVERSITY_HERFINDAHL': 0.9988159405828045, 'COVERAGE_ITEM': 0.23872062030530652, 'COVERAGE_USER': 0.1960710462672957, 'DIVERSITY_GINI': 0.241298458453896, 'SHANNON_ENTROPY': 10.54893035361468}
BayesianSearch: Config is suboptimal. Config: {'topK': 900, 'shrink': 112, 'similarity': 'cosine', 'normalize': True} - results: {'ROC_AUC': 0.2372034260743695, 'PRECISION': 0.12912227405706325, 'RECALL': 0.1272313912036337, 'RECALL_TEST_LEN': 0.12912227405706325, 'MAP': 0.057000499956963414, 'MRR': 0.17670352878117412, 'NDCG': 0.10463676660101981, 'F1': 0.12816985898719468, 'HIT_RATE': 0.6003437468405621, 'ARHR': 0.21450095725952423, 'NOVELTY': 0.005720380975291265, 'DIVERSITY_MEAN_INTER_LIST': 0.9911298165167157, 'DIVERSITY_HERFINDAHL': 0.9991029611298182, 'COVERAGE_ITEM': 0.2691058880542767, 'COVERAGE_USER': 0.1960710462672957, 'DIVERSITY_GINI': 0.2635070740644505, 'SHANNON_ENTROPY': 10.875266464752649}
BayesianSearch: Config is suboptimal. Config: {'topK': 1400, 'shrink': 114, 'similarity': 'cosine', 'normalize': True} - results: {'ROC_AUC': 0.23686727392065637, 'PRECISION': 0.12918385802067947, 'RECALL': 0.12717415679409172, 'RECALL_TEST_LEN': 0.12918385802067947, 'MAP': 0.05636966009944265, 'MRR': 0.17660704055153445, 'NDCG': 0.10424524587024006, 'F1': 0.12817112994932553, 'HIT_RATE': 0.6018602770195127, 'ARHR': 0.21400455440491634, 'NOVELTY': 0.005608255264605649, 'DIVERSITY_MEAN_INTER_LIST': 0.9878971977568642, 'DIVERSITY_HERFINDAHL': 0.9987797319362591, 'COVERAGE_ITEM': 0.23343833292948873, 'COVERAGE_USER': 0.1960710462672957, 'DIVERSITY_GINI': 0.23071189959768618, 'SHANNON_ENTROPY': 10.460011553251942}
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'shrink': 44, 'similarity': 'cosine', 'normalize': True} - results: {'ROC_AUC': 0.23739596923931233, 'PRECISION': 0.1295370731448985, 'RECALL': 0.1276117277365333, 'RECALL_TEST_LEN': 0.1295370731448985, 'MAP': 0.057377837074910176, 'MRR': 0.17683941469958978, 'NDCG': 0.10508396260545054, 'F1': 0.1285671926393791, 'HIT_RATE': 0.6044889293296937, 'ARHR': 0.21552325105555173, 'NOVELTY': 0.005735164340224185, 'DIVERSITY_MEAN_INTER_LIST': 0.9915121661295175, 'DIVERSITY_HERFINDAHL': 0.9991411922254668, 'COVERAGE_ITEM': 0.27841046765204747, 'COVERAGE_USER': 0.1960710462672957, 'DIVERSITY_GINI': 0.26724011530767156, 'SHANNON_ENTROPY': 10.94320824316376}
BayesianSearch: Config is suboptimal. Config: {'topK': 900, 'shrink': 186, 'similarity': 'cosine', 'normalize': True} - results: {'ROC_AUC': 0.23700581176089244, 'PRECISION': 0.12873816665142104, 'RECALL': 0.12684738063796577, 'RECALL_TEST_LEN': 0.12873816665142104, 'MAP': 0.056914220015172164, 'MRR': 0.1763216279670623, 'NDCG': 0.10439594053602017, 'F1': 0.12778577975989322, 'HIT_RATE': 0.5984228086138914, 'ARHR': 0.21416828349645897, 'NOVELTY': 0.005721424807622811, 'DIVERSITY_MEAN_INTER_LIST': 0.9911544919501228, 'DIVERSITY_HERFINDAHL': 0.9991054284236853, 'COVERAGE_ITEM': 0.2688635812939181, 'COVERAGE_USER': 0.1960710462672957, 'DIVERSITY_GINI': 0.2641787154155826, 'SHANNON_ENTROPY': 10.8782168518573}
BayesianSearch: Config is suboptimal. Config: {'topK': 1000, 'shrink': 72, 'similarity': 'cosine', 'normalize': True} - results: {'ROC_AUC': 0.23710763593005071, 'PRECISION': 0.129390234508524, 'RECALL': 0.12745465649413115, 'RECALL_TEST_LEN': 0.129390234508524, 'MAP': 0.05663116572937792, 'MRR': 0.17629976265099032, 'NDCG': 0.10441713999667214, 'F1': 0.12841515226252656, 'HIT_RATE': 0.6016580729956527, 'ARHR': 0.21420306740294429, 'NOVELTY': 0.005688091463324517, 'DIVERSITY_MEAN_INTER_LIST': 0.9903670800399786, 'DIVERSITY_HERFINDAHL': 0.9990266951935638, 'COVERAGE_ITEM': 0.2586866973588563, 'COVERAGE_USER': 0.1960710462672957, 'DIVERSITY_GINI': 0.2540978932965314, 'SHANNON_ENTROPY': 10.761849912194211}
